981813001,155,12,nan,12,14,20
981813102,156,13,nan,14,11,14
981813103,157,20,nan,13,10,19.5
981813104,158,13,nan,5,19,18
981813105,159,18,nan,13,18,15
981813106,200,14,nan,15,17,16
981813107,201,11,nan,16,16,17
981813108,202,13,nan,17,15,18
981813109,203,11,nan,18,14,19
981813110,154,17,nan,19,13,20
981813011,153,18,nan,13,15,20
981813112,152,11,nan,14,20,15
981813113,151,20,nan,20,10,19.5
981813114,150,20,nan,14,6.5,15
981813115,149,13.75,nan,14,7,12
981813116,148,17.25,nan,18,17,20
981813117,147,18,nan,14,18,19
981813118,146,12.5,nan,13,11,14
981813119,145,11,nan,11,19,16
981813120,144,10,nan,20,17,18
